City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Provideniya,RU,64.3833,-173.3,35.82,99,100,5.64,light rain
313,Tual,ID,-5.6667,132.75,81.52,79,54,9.91,broken clouds
314,Kruisfontein,ZA,-34.0033,24.7314,72.88,73,100,6.98,overcast clouds
315,Nizwa,OM,22.9333,57.5333,90.36,33,0,3.09,clear sky
316,Pevek,RU,69.7008,170.3133,25.41,80,100,10.31,overcast clouds
317,Alenquer,BR,-1.9417,-54.7383,89.94,34,41,4.14,scattered clouds
318,Hambantota,LK,6.1241,81.1185,80.78,83,69,13.31,broken clouds
319,Tsumeb,NA,-19.2333,17.7167,91.6,19,58,12.5,broken clouds
320,Coahuayana,MX,18.7333,-103.6833,87.28,63,24,2.13,few clouds
321,Cuamba,MZ,-14.8031,36.5372,80.64,32,4,10.18,clear sky
322,Homer,US,59.6425,-151.5483,46.8,82,20,6.91,few clouds
323,Touros,BR,-5.1989,-35.4608,88.7,61,79,17.65,broken clouds
324,Panorama,GR,40.5878,23.0315,63.99,63,40,1.01,scattered clouds
325,Jalu,LY,29.0331,21.5482,82.06,21,0,5.64,clear sky
326,Silvan,TR,38.1419,41.0081,64.69,22,0,2.19,clear sky
327,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,21,0,8.05,clear sky
328,Severo-Kurilsk,RU,50.6789,156.125,44.04,78,22,18.43,few clouds
329,Khandbari,NP,27.3747,87.2039,69.93,93,45,0.89,scattered clouds
330,Panjab,AF,34.388,67.0233,48.76,26,0,5.03,clear sky
331,Westport,US,41.1415,-73.3579,74.35,70,40,3.0,scattered clouds
332,Inuvik,CA,68.3499,-133.7218,27.46,86,20,5.75,few clouds
333,Terekli-Mekteb,RU,44.1671,45.8698,50.61,57,96,18.97,overcast clouds
334,Spasskoye,RU,44.6108,132.7969,44.13,90,5,7.65,clear sky
335,Middleton,GB,53.55,-2.2,67.91,84,90,7.72,overcast clouds
336,Selma,US,36.5708,-119.6121,65.59,88,1,0.0,clear sky
337,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,84,100,7.09,overcast clouds
338,Yining,CN,29.0361,114.5636,65.26,88,59,2.46,broken clouds
339,Inta,RU,66.0317,60.1659,46.44,77,100,20.33,overcast clouds
340,Maroon Town,JM,18.3446,-77.7954,84.6,59,37,5.77,moderate rain
341,Anqing,CN,30.5092,117.0506,64.96,80,93,8.41,overcast clouds
342,Livingston,GB,55.9029,-3.5226,63.84,88,100,12.53,overcast clouds
343,Puerto Madero,MX,14.7208,-92.4215,88.0,79,75,0.0,broken clouds
344,Kloulklubed,PW,7.0419,134.2556,82.9,76,100,21.74,heavy intensity rain
345,Gwadar,PK,25.1216,62.3254,82.0,75,0,13.18,clear sky
